TABLE_IDENTIFIER;FREQ;REF_SECTOR;COUNTERPART_SECTOR;EXPENDITURE_TYPE;ISC11P_LEVEL;ISC11P_CAT;ISC11P_SUB;STAT_UNIT;INTENSITY
FINSTU;A;INST_PUB;_Z;_Z;L0;C1;_T;STU_FIN;FT
FINSTU;A;INST_PUB;_Z;_Z;L0;C2;_T;STU_FIN;FT
FINSTU;A;INST_PUB;_Z;_Z;L0;_T;_T;STU_FIN;FT
FINSTU;A;INST_PUB;_Z;_Z;L1;_T;_T;STU_FIN;FT
FINSTU;A;INST_PUB;_Z;_Z;L2;C4;_T;STU_FIN;FT
FINSTU;A;INST_PUB;_Z;_Z;L2;C5;_T;STU_FIN;FT
FINSTU;A;INST_PUB;_Z;_Z;L2;_T;_T;STU_FIN;FT
FINSTU;A;INST_PUB;_Z;_Z;L3;C4;_T;STU_FIN;FT
FINSTU;A;INST_PUB;_Z;_Z;L3;C5;_T;STU_FIN;FT
FINSTU;A;INST_PUB;_Z;_Z;L3;_T;_T;STU_FIN;FT
FINSTU;A;INST_PUB;_Z;_Z;L4;C4;_T;STU_FIN;FT
FINSTU;A;INST_PUB;_Z;_Z;L4;C5;_T;STU_FIN;FT
FINSTU;A;INST_PUB;_Z;_Z;L4;_T;_T;STU_FIN;FT
FINSTU;A;INST_PUB;_Z;_Z;L3_4;C4;_T;STU_FIN;FT
FINSTU;A;INST_PUB;_Z;_Z;L3_4;C5;_T;STU_FIN;FT
FINSTU;A;INST_PUB;_Z;_Z;L3_4;_T;_T;STU_FIN;FT
FINSTU;A;INST_PUB;_Z;_Z;L5;_T;_T;STU_FIN;FT
FINSTU;A;INST_PUB;_Z;_Z;L6T8;_T;_T;STU_FIN;FT
FINSTU;A;INST_PUB;_Z;_Z;L5T8;_T;_T;STU_FIN;FT
FINSTU;A;INST_PUB;_Z;_Z;L5T8;C4;_T;STU_FIN;FT
FINSTU;A;INST_PUB;_Z;_Z;L5T8;C5;_T;STU_FIN;FT
FINSTU;A;INST_PUB;_Z;_Z;_X;_T;_T;STU_FIN;FT
FINSTU;A;INST_PUB;_Z;_Z;_T;_T;_T;STU_FIN;FT
FINSTU;A;INST_PUB;_Z;_Z;L0;C1;_T;STU_FIN;PT
FINSTU;A;INST_PUB;_Z;_Z;L0;C2;_T;STU_FIN;PT
FINSTU;A;INST_PUB;_Z;_Z;L0;_T;_T;STU_FIN;PT
FINSTU;A;INST_PUB;_Z;_Z;L1;_T;_T;STU_FIN;PT
FINSTU;A;INST_PUB;_Z;_Z;L2;C4;_T;STU_FIN;PT
FINSTU;A;INST_PUB;_Z;_Z;L2;C5;_T;STU_FIN;PT
FINSTU;A;INST_PUB;_Z;_Z;L2;_T;_T;STU_FIN;PT
FINSTU;A;INST_PUB;_Z;_Z;L3;C4;_T;STU_FIN;PT
FINSTU;A;INST_PUB;_Z;_Z;L3;C5;_T;STU_FIN;PT
FINSTU;A;INST_PUB;_Z;_Z;L3;_T;_T;STU_FIN;PT
FINSTU;A;INST_PUB;_Z;_Z;L4;C4;_T;STU_FIN;PT
FINSTU;A;INST_PUB;_Z;_Z;L4;C5;_T;STU_FIN;PT
FINSTU;A;INST_PUB;_Z;_Z;L4;_T;_T;STU_FIN;PT
FINSTU;A;INST_PUB;_Z;_Z;L3_4;C4;_T;STU_FIN;PT
FINSTU;A;INST_PUB;_Z;_Z;L3_4;C5;_T;STU_FIN;PT
FINSTU;A;INST_PUB;_Z;_Z;L3_4;_T;_T;STU_FIN;PT
FINSTU;A;INST_PUB;_Z;_Z;L5;_T;_T;STU_FIN;PT
FINSTU;A;INST_PUB;_Z;_Z;L6T8;_T;_T;STU_FIN;PT
FINSTU;A;INST_PUB;_Z;_Z;L5T8;_T;_T;STU_FIN;PT
FINSTU;A;INST_PUB;_Z;_Z;L5T8;C4;_T;STU_FIN;PT
FINSTU;A;INST_PUB;_Z;_Z;L5T8;C5;_T;STU_FIN;PT
FINSTU;A;INST_PUB;_Z;_Z;_X;_T;_T;STU_FIN;PT
FINSTU;A;INST_PUB;_Z;_Z;_T;_T;_T;STU_FIN;PT
FINSTU;A;INST_PUB;_Z;_Z;L0;C1;_T;STU_FIN;_T
FINSTU;A;INST_PUB;_Z;_Z;L0;C2;_T;STU_FIN;_T
FINSTU;A;INST_PUB;_Z;_Z;L0;_T;_T;STU_FIN;_T
FINSTU;A;INST_PUB;_Z;_Z;L1;_T;_T;STU_FIN;_T
FINSTU;A;INST_PUB;_Z;_Z;L2;C4;_T;STU_FIN;_T
FINSTU;A;INST_PUB;_Z;_Z;L2;C5;_T;STU_FIN;_T
FINSTU;A;INST_PUB;_Z;_Z;L2;_T;_T;STU_FIN;_T
FINSTU;A;INST_PUB;_Z;_Z;L3;C4;_T;STU_FIN;_T
FINSTU;A;INST_PUB;_Z;_Z;L3;C5;_T;STU_FIN;_T
FINSTU;A;INST_PUB;_Z;_Z;L3;_T;_T;STU_FIN;_T
FINSTU;A;INST_PUB;_Z;_Z;L4;C4;_T;STU_FIN;_T
FINSTU;A;INST_PUB;_Z;_Z;L4;C5;_T;STU_FIN;_T
FINSTU;A;INST_PUB;_Z;_Z;L4;_T;_T;STU_FIN;_T
FINSTU;A;INST_PUB;_Z;_Z;L3_4;C4;_T;STU_FIN;_T
FINSTU;A;INST_PUB;_Z;_Z;L3_4;C5;_T;STU_FIN;_T
FINSTU;A;INST_PUB;_Z;_Z;L3_4;_T;_T;STU_FIN;_T
FINSTU;A;INST_PUB;_Z;_Z;L5;_T;_T;STU_FIN;_T
FINSTU;A;INST_PUB;_Z;_Z;L6T8;_T;_T;STU_FIN;_T
FINSTU;A;INST_PUB;_Z;_Z;L5T8;_T;_T;STU_FIN;_T
FINSTU;A;INST_PUB;_Z;_Z;L5T8;C4;_T;STU_FIN;_T
FINSTU;A;INST_PUB;_Z;_Z;L5T8;C5;_T;STU_FIN;_T
FINSTU;A;INST_PUB;_Z;_Z;_X;_T;_T;STU_FIN;_T
FINSTU;A;INST_PUB;_Z;_Z;_T;_T;_T;STU_FIN;_T
FINSTU;A;INST_PRIV_GOV;_Z;_Z;L0;C1;_T;STU_FIN;FT
FINSTU;A;INST_PRIV_GOV;_Z;_Z;L0;C2;_T;STU_FIN;FT
FINSTU;A;INST_PRIV_GOV;_Z;_Z;L0;_T;_T;STU_FIN;FT
FINSTU;A;INST_PRIV_GOV;_Z;_Z;L1;_T;_T;STU_FIN;FT
FINSTU;A;INST_PRIV_GOV;_Z;_Z;L2;C4;_T;STU_FIN;FT
FINSTU;A;INST_PRIV_GOV;_Z;_Z;L2;C5;_T;STU_FIN;FT
FINSTU;A;INST_PRIV_GOV;_Z;_Z;L2;_T;_T;STU_FIN;FT
FINSTU;A;INST_PRIV_GOV;_Z;_Z;L3;C4;_T;STU_FIN;FT
